"source_id","table","title","url","status_code","ok","issue","fix_applied","new_url","red_team_verdict","checked_date"
"src-savannah-ga-nps-fort-pulaski","Source","","https://www.nps.gov/fopu/learn/historyculture/revolutionary-war.htm","404","false","","true","https://www.nps.gov/people/casimir-pulaski.htm","","2026-07-07"
"src-savannah-ga-georgia-historical-society","Source","","https://georgiahistory.com/","200","true","","","","","2026-07-07"
"src-savannah-ga-lamprecht-pulaski","Source","","https://allthingsliberty.com/","200","true","","","","","2026-07-07"
"src-savannah-ga-wikipedia-siege-1779","Source","","https://en.wikipedia.org/wiki/Siege_of_Savannah_(1779)","200","true","","","","","2026-07-07"
"src-savannah-ga-wikipedia-capture-1778","Source","","https://en.wikipedia.org/wiki/Capture_of_Savannah_(1778)","404","false","","true","https://en.wikipedia.org/wiki/Capture_of_Savannah","","2026-07-07"
"src-savannah-ga-visit-savannah","Source","","https://www.visitsavannah.com/history","403","true","bot-blocked","","","","2026-07-07"
"src-savannah-ga-georgia-state-archives","Source","Georgia State Archives: Revolutionary War Records, 1776-1783","https://www.georgiaarchives.org/","200","true","","","","ISSUE","2026-07-07"
"src-augusta-ga-historic-augusta","Source","","https://www.historicaugusta.org/","200","true","","","","","2026-07-07"
"src-augusta-ga-wikipedia-battle-1781","Source","","https://en.wikipedia.org/wiki/Siege_of_Augusta_(1781)","404","false","","true","https://en.wikipedia.org/wiki/Siege_of_Augusta","","2026-07-07"
"src-augusta-ga-american-battlefield-trust","Source","","https://www.battlefields.org/learn/revolutionary-war/battles/augusta","404","false","","false","","","2026-07-07"
"src-new-haven-nps-coastal-raids","Source","","https://www.nps.gov/subjects/nationalregister/upload/CT-MPS-Revolutionary-War-Coastal-Raids.pdf","404","false","","true","https://connecticuthistory.org/topics-page/revolutionary-war/","","2026-07-07"
"src-new-haven-state-archives-council","Source","Connecticut Council of Safety Minutes, 1779","https://portal.ct.gov/SOTS/Collection-Detail-Pages/State-Archives","200","false","redirects to homepage","true","https://portal.ct.gov/csl/departments/state-archives","INACCESSIBLE","2026-07-07"
"src-new-haven-dandrea-raid","Source","","https://allthingsliberty.com/2018/07/the-british-raid-on-new-haven/","404","false","","true","https://en.wikipedia.org/wiki/Tryon%27s_raid","","2026-07-07"
"src-augusta-ga-georgia-state-archives-augusta","Source","Georgia Archives: Richmond County Records and Georgia Executive Council Papers,","https://www.georgiaarchives.org/","200","true","","","","ISSUE","2026-07-07"
"src-new-haven-wikipedia","Source","","https://en.wikipedia.org/wiki/Battle_of_New_Haven","200","true","","","","","2026-07-07"
"src-new-haven-visitnewhaven","Source","","https://www.visitnewhaven.com/","200","true","","","","","2026-07-07"
"src-new-london-connecticut-state-records","Source","The Public Records of the State of Connecticut, 1781","https://portal.ct.gov/SOTS/Collection-Detail-Pages/State-Archives","200","false","redirects to homepage","true","https://portal.ct.gov/csl/departments/state-archives","ISSUE","2026-07-07"
"src-new-london-nps-arnold-raid","Source","","https://portal.ct.gov/DEEP/State-Parks/Parks/Fort-Trumbull-State-Park","200","true","","","","","2026-07-07"
"src-new-london-martin-privateers","Source","","https://connecticuthistory.org/","200","true","","","","","2026-07-07"
"src-new-london-connecticut-humanities","Source","","https://connecticuthistory.org/new-london/","200","true","","","","","2026-07-07"
"src-new-london-wikipedia","Source","","https://en.wikipedia.org/wiki/Raid_on_New_London","404","false","","true","https://en.wikipedia.org/wiki/Battle_of_Groton_Heights","","2026-07-07"
"src-new-london-tourism","Source","","https://www.newlondonct.gov/","200","true","","","","","2026-07-07"
"src-groton-nps-fort-griswold","Source","","https://portal.ct.gov/DEEP/State-Parks/Parks/Fort-Griswold-Battlefield-State-Park","200","true","","","","","2026-07-07"
"src-new-haven-new-haven-hist-soc","Source","","https://www.newhavenmuseum.org/","403","true","bot-blocked","","","","2026-07-07"
"src-groton-connecticut-sons-revolution","Source","","https://connecticutsar.org/","301","false","redirects to unrelated site","true","https://www.fortgriswold.org/","","2026-07-07"
